place,city,country
Fundacion Debra CL,Santiago,CL
Hospital De San Jose,Bogotá,CO
Children´s Hospital,Brno,CZ
CHU Toulouse - Hospital Larrey,Toulouse,FR
S/R National Center of Dermatology and Venerology,Tbilisi,GE
Medical Center University Freiburg,Freiburg im Breisgau,DE
Kinder- und Jugendkrankenhaus AUF DER BULT,Hannover,DE
"Hospital of Skin and Veneral Diseases ""A. Syggros""",Athens,GR
Our Ladys Childrens Hospital,Dublin,IE
Bambino Gesù Children Hospital,Roma,IT
Istituto Dermopatico dell'Immacolata IDI-IRCCS,Roma,IT
Centrul Medical Sanador,Bucharest,RO
State Scientific Center for Dermatovenerology and Cosmetology,Moscow,RU
Scientific Center of Children's Health,Moscow,RU
Kandang Kerbau (KK) Women's and Children's Hospital,,SG
Hospital Universitari de la Vall d'Hebron,Barcelona,ES
Hospital Viamed Santa Ángela de la Cruz,Sevilla,ES
"National Children Specialized Hospital ""Ohmatdyt"" of Ministry of Health of UA",Kyiv,UA
Birmingham Children's Hospital NHS Trust,Birmingham,GB
Great Ormond Street hospital,London,GB
Melbourne Health,,
Colorectal Surgery Unit,Cliniques universitaires SaintLuc,
Cleveland Clinic Foundation Childrens Hospital,Cleveland,US
Aravind Eye Hospital,Maduri,IN
University of Punjab,Lahore,PK
National Eye Institute (NEI),,
University of Chicago Hospital,Chicago,US
Indiana Blood and Marrow Institute Regulatory - 2,Beech Grove,US
Dana Farber Cancer Center,Boston,US
University of Michigan Clinical Trials Office Main Site,Ann Arbor,US
Washington U School of Medicine Center for Clinical Studies Main Site,Saint Louis,US
Weill Cornell Medicine NewYork Presbyterian Hospital,New York,US
University of TX MD Anderson Cancer Center Primary,Houston,US
Utah Huntsman Cancer Center,Salt Lake City,US
Fred Hutchinson Cancer Center,Seattle,US
IRCCS San Raffaele Pisana,Rome,IT
Public Health Department,Lyon,FR
Liaoning Tumor Hospital & Institute,Shenyang,CN
People's Hospital of Liaoning Province,Shenyang,CN
Universidad San Francisco de Quito,,
University of Verona,Verona,IT
Universita di Verona,,
Hämato-onkologisches Service,Krems,AT
Department für Innere Medizin 3,Linz,AT
Abteilung für Innere Medizin IV,Wels,AT
Innere Medizin / Hämato - Onkologie,Hall In Tirol,AT
Innere MEdizin IV / Hämato-Onkologie,Innsbruck,AT
Innere Medizin / Hämatologie / Onkologie,Kufstein,AT
Interne E,Feldkirch,AT
Univ-Klinik für Innere Medizin,Salzburg,AT
Klinische Abteilung für Hämatologie und Hämostaseologie,Wien,AT
3. Med. Abtlg.,Wien,AT
FN Brno,Brno,CZ
FN Hradec Kralove,Hradec Kralove,CZ
FN Olomouc,Olomouc,CZ
FN Kralovske Vinohrady,Praha,CZ
VFN Praha 2,Praha,CZ
F.D. Rossevelt hospital,Banská Bystrica,SK
FNsP sv. Cyrila a Metoda,Bratislava,SK
FNsP L.Pasteura,Kosice,SK
Martinska fakultna nemocnica,Martin,SK
FNsP J.A. Reimana,Presov,SK
Arbeitsgemeinschaft medikamentoese Tumortherapie,,
Central Contact,Darmstadt,DE
Friedrich-Alexander-Universität Erlangen,Erlangen,DE
Universität Duisburg-Essen,Essen,DE
Albert-Ludwigs-Universität Freiburg,Freiburg,DE
Technische Universität München Klinikum rechts der Isar,München,DE
UCAM,,
Universidad Católica San Antonio de Murcia,,
LASER,,
Noelia González Gálvez,Murcia,ES
Policlinique Médicale Universitaire,Lausanne,CH
Addis Ababa University,Addis Ababa,ET
Swiss Federal Institute of Technology (ETH),Zurich,CH
Human Nutrition,Swiss Federal Institute of Technology (ETH) Zurich,CH
Center for Food Science and Nutrition,Addis Ababa Univeristy,ET
CH de Belley,Belley,FR
CH Métropole Savoie,Chambéry,FR
CH Alpes Léman,ContaminesurArve,FR
CH de Sallanches,Sallanches,FR
Oberwaid Ag,St.Gallen,CH
Oberwaid AG,,
University of RW,Butare,RW
GroundWork,,
Riyadh Fertility and Reproductive Health center,Giza,EG
Faculty of medicine,Cairo university. Director of Riyadh Fertility and Reproductive Health center,
University hospital of lausanne,Lausanne,CH
Département de médecine communautaire et de premier recours,Hôpitaux Universitaires de Genève,
University and University Hospital Zurich,Zurich,CH
Cantonal Hospital of Saint Gallen,Saint Gallen,CH
Cantonal Hospital Saint Gallen,,
Private practice - Dr Sunaric Mégevand,Geneva,CH
Sensimed AG,,
Nephrology Service Department of Medicine CHUV,Lausanne,CH
Upper Extremities Department,,
Clinic for Geriatric Medicine,Zurich,CH
Division of Visceral and Transplantation Surgery,Zurich,CH
Département de l'Appareil Locomoteur - CHUV,Lausanne,CH
HECVSanté and CHUV-UNIL,,
HECVSanté,filière physiothérapie,
Chiesi Farmaceutici,,
NESTEC / Clinical Development Unit / Metabolic Unit,Lausanne,CH
Ophthalmic Clinic,Zurich,CH
Phoenix VA Healthcare /ID# 162267,Phoenix,US
HonorHealth Research Institute - Shea /ID# 161783,Scottsdale,US
Physician's Research Group /ID# 211883,Tempe,US
University of Arizona /ID# 158469,Tucson,US
Atria Clinical Research /ID# 164740,Little Rock,US
TLC Clinical Research Inc /ID# 212503,Beverly Hills,US
Newport Huntington Medical Group /ID# 213033,Huntington Beach,US
United Gastroenterologists /ID# 207040,Los Alamitos,US
Gastrointestinal Biosciences /ID# 162656,Los Angeles,US
United Gastroenterologists - Murrieta /ID# 158424,Murrieta,US
Inc /ID# 167875,Riverside,US
Kaiser Permanente - San Diego (Palm Ave) /ID# 214114,San Diego,US
San /ID# 157143,San Francisco,US
Cedars-Sinai Medical Center - West Hollywood /ID# 163842,West Hollywood,US
Peak Gastroenterology Associat /ID# 165834,Colorado Springs,US
Rocky Mountain Pediatric Gastroenterology /ID# 207169,Lone Tree,US
Western Connecticut Medical Group /ID# 165849,Danbury,US
PA /ID# 162265,Brandon,US
Inc. /ID# 204859,Clearwater,US
Inc. /ID# 207450,Clearwater,US
Inc /ID# 162825,Clermont,US
Universal Axon Clinical Resear /ID# 165432,Doral,US
Nature Coast Clinical Research /ID# 159414,Inverness,US
LLC /ID# 163082,Kissimmee,US
Alliance Medical Research /ID# 163840,Lighthouse Point,US
Ctr for Advanced Gastroenterol /ID# 201571,Maitland,US
Vista Health Research LLC - Miami /ID# 212664,Miami,US
ITB Research /ID# 161334,Miami,US
Coral Research Clinic /ID# 158549,Miami,US
Nirvana Research Center /ID# 161836,Miami,US
Gastroenterology Group Naples /ID# 165206,Naples,US
Advanced Research Institute /ID# 161959,New Port Richey,US
Inc. /ID# 205901,Orlando,US
LLC Debary /ID# 171081,Orlando,US
IMIC Inc. /ID# 154943,Palmetto Bay,US
Inc. /ID# 201014,Tampa,US
Atlanta Gastro Assoc /ID# 154740,Atlanta,US
Gastro Assoc of Central GA /ID# 154857,Macon,US
Northwestern University /ID# 158283,Chicago,US
University of Chicago /ID# 157141,Chicago,US
NorthShore University HealthSystem - Evanston Hospital /ID# 158287,Evanston,US
Southwest Gastroenterology /ID# 165002,Oak Lawn,US
Cotton-O'Neil Clinical Res Ctr /ID# 154738,Topeka,US
University of Kentucky Chandler Medical Center /ID# 157137,Lexington,US
University of Louisville /ID# 210521,Louisville,US
Gastroenterology Associates LLC - Jefferson Hwy /ID# 161956,Baton Rouge,US
Houma Digestive Health Special /ID# 158286,Houma,US
Delricht Research /ID# 206542,New Orleans,US
LLC /ID# 161330,New Orleans,US
Louisiana Research Ctr. LLC /ID# 162236,Shreveport,US
Inc.Chevy Chase Clinical Research /ID# 154839,Chevy Chase,US
Gastro Center of Maryland /ID# 165004,Columbia,US
University of Michigan Hospitals /ID# 157144,Ann Arbor,US
Center for Digestive Health /ID# 154690,Troy,US
PLC /ID# 161328,Wyoming,US
Mayo Clinic - Rochester /ID# 163085,Rochester,US
Southern Therapy and Advanced Research (STAR) LLC /ID# 162388,Jackson,US
Saint Louis University School of Medicine /ID# 161902,Saint Louis,US
University of Nebraska Med Ctr /ID# 210057,Omaha,US
Las Vegas Medical Research /ID# 160172,Las Vegas,US
LLC /ID# 210984,Las Vegas,US
NY Scientific /ID# 158418,Brooklyn,US
Saratoga Schenectady Gastroenterology Associates - Burnt Hills /ID# 212036,Burnt Hills,US
Intercity Advanced Gastroentertology Center /ID# 213399,Fresh Meadows,US
Long Island Clinical Research /ID# 154836,Great Neck,US
Digestive Dis Care/Excel Med /ID# 209619,New Hyde Park,US
North Shore University Hospital /ID# 168736,New Hyde Park,US
NYU Langone Medical Center /ID# 160171,New York,US
Columbia Univ Medical Center /ID# 161911,New York,US
Northwell /ID# 168465,New York,US
DiGiovanna Institute for Medic /ID# 171118,North Massapequa,US
Univ NC Chapel Hill /ID# 154840,Chapel Hill,US
Atrium Health Carolinas Medical Center /ID# 158481,Charlotte,US
Clinical Trials America /ID# 158484,Hickory,US
d/b/a Vidant Multi-Specialty Clinic-Kinston /ID# 161111,Kinston,US
LLC /ID# 154880,Raleigh,US
LLC /ID# 169715,Fargo,US
Tri-State Endoscopy /ID# 154933,Cincinnati,US
Cleveland Clinic Main Campus /ID# 208171,Cleveland,US
The Ohio State University - Columbus /ID# 164709,Columbus,US
Ltd. /ID# 167901,Columbus,US
Hometown Urgent Care and Resea /ID# 170453,Dayton,US
Great Lakes Gastroenterology Research LLC /ID# 201732,Mentor,US
Hightower Clinical /ID# 211938,Oklahoma City,US
Digestive Disease Specialists /ID# 170774,Oklahoma City,US
Adult Gastroenterology Associates - Main /ID# 206125,Tulsa,US
Northwest Gastroenterology Cli /ID# 158288,Portland,US
PennState Milton S.Hershey Med /ID# 154883,Hershey,US
PA /ID# 210920,Pittsburgh,US
LTD /ID# 208847,Wyomissing,US
Medical University of South Carolina /ID# 212579,Charleston,US
P.A. /ID# 154911,Greenville,US
Rapid City Medical Center /ID# 163841,Rapid City,US
Gastro One /ID# 154742,Germantown,US
East Tennessee Research Instit /ID# 168737,Johnson City,US
Clinical Neuroscience /ID# 164181,Memphis,US
Vanderbilt Univ Med Ctr /ID# 157138,Nashville,US
TX Clinical Research Institute /ID# 159410,Arlington,US
Inquest Clinical Research /ID# 165695,Baytown,US
Texas Digestive Disease Consultants /ID# 209596,Cedar Park,US
Texas Digestive Disease Consultants /ID# 209785,Cedar Park,US
Baylor Scott & White Research /ID# 201848,Dallas,US
DHAT Research Institute /ID# 158217,Garland,US
Vilo Research Group Inc /ID# 206130,Houston,US
LLC /ID# 158209,Houston,US
Baylor College of Medicine /ID# 158212,Houston,US
Precision Research Institute - Houston /ID# 200503,Houston,US
Inc. - Houston /ID# 200720,Houston,US
Clinical Associates in Researc /ID# 161336,San Antonio,US
LLC /ID# 168770,San Antonio,US
LLC /ID# 166796,Tyler,US
Victoria gastroenterology /ID# 164296,Victoria,US
HP Clinical Research /ID# 162998,Bountiful,US
Advanced Research Institute /ID# 154914,Ogden,US
University of Vermont Medical Center /ID# 215407,Burlington,US
McGuire DV AMC /ID# 159990,Richmond,US
Washington Gastroenterology /ID# 162120,Bellevue,US
Virginia Mason Medical Center /ID# 155545,Seattle,US
West Virginia University /ID# 167940,Morgantown,US
Hopital Centenario /ID# 170883,Rosario,AR
Hospital Privado Univesitario /ID# 161988,Cordoba,AR
Mater Hospital /ID# 167990,Brisbane,AU
Griffith University /ID# 212627,Southport,AU
Lyell McEwin Hospital /ID# 211363,Elizabeth Vale,AU
Emeritus Research /ID# 213511,Camberwell,AU
Footscray Hospital /ID# 211361,Footscray,AU
Universitätsklinikum St.Pölten /ID# 166425,St. Pölten,AT
LKH-Univ. Klinikum Graz /ID# 158137,Graz,AT
Krankenhaus der Barmherzigen Brüder Wien /ID# 212059,Vienna,AT
Medical University of Vienna /ID# 158138,Vienna,AT
Gomel Regional Clinical Hospit /ID# 159498,Gomel,BY
Grodno city clinical hospital №2 /ID# 159499,Grodno,BY
Vitebsk Regional Advanced CC /ID# 159497,Vitebsk,BY
Cliniques Universitaires Saint Luc /ID# 157395,WoluweSaintLambert,BE
UZ Gent /ID# 157394,Gent,BE
Imelda Ziekenhuis /ID# 157392,Bonheiden,BE
ULB Erasme /ID# 157397,Brussels,BE
UZ Leuven /ID# 157396,Leuven,BE
CHU de Liege /ID# 157398,Liege,BE
Groupe Sante CHC - Clinique du MontLegia /ID# 157393,Liege,BE
AZ-Delta /ID# 157391,Roeselare,BE
CHU Dinant Godinne - UCL Namur /ID# 157401,Yvoir,BE
University Clinical Centre of the Republic of Srpska /ID# 157717,Banja Luka,BA
University Clinical Centre of the Republic of Srpska /ID# 164512,Banja Luka,BA
Clinical Center University of Sarajevo /ID# 165134,Sarajevo,BA
Instituto Goiano de Gastroenterologia e Endoscopia Digestiva Ltda /ID# 157672,Goiania,BR
Hospital Nossa Senhora das Graças /ID# 157646,Curitiba,BR
Hospital de Clinicas de Porto Alegre /ID# 157653,Porto Alegre,BR
Upeclin Fmb - Unesp /Id# 157688,Botucatu,BR
Hospital das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP /ID# 157649,Ribeirão Preto,BR
Faculdade de Medicina do ABC /ID# 159672,Santo André,BR
Kaiser Clinica e Hospital Dia /ID# 157656,Sao Jose Do Rio Preto,BR
Hosp U Clementino Fraga Filho /ID# 157650,Rio de Janeiro,BR
UMHAT Dr Georgi Stranski EAD /ID# 203977,Pleven,BG
University Multiprofile Hospit /ID# 158644,Plovdiv,BG
Second Multiprofile Hospital f /ID# 158646,Sofia,BG
Tokuda Hospital Sofia /ID# 158645,Sofia,BG
UMHAT Tsaritsa Joanna - ISUL /ID# 211240,Sofia,BG
UMHAT Sv. Ivan Rilski /ID# 204714,Sofia,BG
MHAT Trakia /ID# 201672,Stara Zagora,BG
University Multiprofile Hospit /ID# 167575,Varna,BG
University of Calgary /ID# 157152,Calgary,CA
Allen Whey Khye Lim Professional Corporation /ID# 169761,Edmonton,CA
Zeidler Ledcor Centre /ID# 157098,Edmonton,CA
Covenant Health /ID# 161617,Edmonton,CA
Fraser Clinical Trials Inc /ID# 159053,New Westminster,CA
GIRI Gastrointestinal Research Institute /ID# 157095,Vancouver,CA
Ltd /ID# 161616,Victoria,CA
QEII - Victoria Building /ID# 157087,Halifax,CA
IWK Health Center /ID# 165900,Halifax,CA
London Health Sciences Centre /ID# 157160,London,CA
Scott Shulman Medicine Professional Corporation /ID# 165903,North Bay,CA
Medicor Research Inc. /ID# 157149,Sudbury,CA
Mount Sinai Hosp.-Toronto /ID# 169762,Toronto,CA
Toronto Digestive Disease Asso /ID# 157157,Vaughan,CA
CISSS de la Monteregie /ID# 161615,Greenfield Park,CA
Hopital Hotel-Dieu de Levis /ID# 214375,Levis,CA
Hospital Maisonneuve-Rosemont /ID# 159054,Montreal,CA
Centre Recherche luniver Montr /ID# 167066,Montreal,CA
McGill Univ HC /ID# 157084,Montreal,CA
Complejo Asistencial Dr. Sotero del Rio /ID# 169382,Santiago,CL
Servicio de Salud Occidente Hospital San Juan de Dios /ID# 171119,Santiago,CL
Centro de Investigaciones Clínicas Viña del Mar /ID# 203589,Viña del Mar,CL
Hospital Guillermo Grant Benavente de Concepción /ID# 210759,Concepción,CL
Hospital Las Higueras /ID# 167090,Talcahuano,CL
Xinqiao Hospital of 3rd Military Medical University /ID# 212994,Chongqing,CN
The Sixth Affiliated Hosp Sun /ID# 210785,Guangzhou,CN
The Second Hospital of Hebei Medical University /ID# 212740,Shijiazhuang,CN
1st Aff Hosp Nanchang Univ /ID# 211034,Nanchang,CN
Shanghai Jiaotong /ID# 210841,Shanghai,CN
Shanghai Jiaotong University School of Medicine /ID# 210707,Shanghai,CN
The second affiliated hospital of Zhejiang University school of medicine /ID# 210725,Hangzhou,CN
Sir Run Run Shaw Hospital /ID# 210624,Hangzhou,CN
Jinhua Central Hospital /ID# 215626,Jinhua,CN
The Second Xiangya Hospital of Central South University /ID# 211696,Changsha,CN
Sichuan University /ID# 210889,Chengdu,CN
Guangdong General Hospital /ID# 212948,Guangzhou,CN
Jiangsu Province Hospital /ID# 210502,Nanjing,CN
Shanghai Dongfang Hospital /ID# 212683,Shanghai,CN
Tianjin Med Univ General Hosp /ID# 210927,Tianjin,CN
Union Hospital Tongji Medical College Huazhong University of Science and Technol /ID# 211038,Wuhan,CN
Tongji Hosp Tongji Med College /ID# 210856,Wuhan,CN
Renmin Hospital of Wuhan Univ /ID# 214873,Wuhan,CN
Hospital Univ San Ignacio /ID# 158733,Bogota,CO
Instituto de Coloproctologia /ID# 158741,Medellin,CO
Hospital Universitario San Vic /ID# 171487,Medellin,CO
Hospital Pablo Tobon Uribe /ID# 158735,Medellín,CO
Klinicka bolnica Dubrava Zagreb /ID# 157565,Zagreb,HR
Klinicki bolnicki centar Sestre milosrdnice /ID# 157721,Zagreb,HR
Klinicki bolnicki centar Zagreb /ID# 157566,Zagreb,HR
Klinicki bolnicki centar Osijek /ID# 157564,Osijek,HR
Klinicki bolnicki centar Split /ID# 157567,Split,HR
s.r.o. /ID# 163149,Olomouc,CZ
Ikem /Id# 165463,Prague,CZ
Thomayerova nemocnice /ID# 162940,Prague,CZ
s.r.o. /ID# 163176,Praha,CZ
NH Hospita /ID# 211076,Horovice,CZ
Hepato-Gastroenterologie HK s.r.o. /ID# 163134,Hradec Kralove,CZ
a.s. /ID# 163182,Pardubice,CZ
Restrial /ID# 211075,Prague,CZ
Nemocnice Milosrdnych sester sv. Karla Boromejskeho v Praze /ID# 211305,Praha,CZ
East Tallinn Central Hospital /ID# 157076,Tallinn,EE
West Tallinn Central Hospital /ID# 157077,Tallinn,EE
North EEn Medical Centre /ID# 163507,Tallinn,EE
Universitatsklinikum Mannheim /ID# 162020,Mannheim,DE
Universitaetsklinikum Erlangen /ID# 159315,Erlangen,DE
Universitatsklinikum Munster /ID# 159316,Munster,DE
Evangelisches Krankenhaus Kalk /ID# 212725,Cologne,DE
Uniklinik Koln /ID# 164985,Köln,DE
Zentrum für Gastroenterologie Saar MVZ GmbH /ID# 210529,Saarbrücken,DE
Klinik furer Innere Medizin /ID# 159321,Kiel,DE
Universitaetsklinikum Ulm /ID# 164986,Ulm,DE
Charite Universitatsmedizin Berlin Campus Virchow Klinikum /ID# 212219,Berlin,DE
Charite Universitatsmedizin Berlin Campus Virchow Klinikum /ID# 212893,Berlin,DE
Gastroenterologische Spezialpraxis am Wittenbergplatz /ID# 211972,Berlin,DE
Praxis am Bayrischen Platz /ID# 159322,Berlin,DE
DRK Kliniken Berlin /ID# 166146,Berlin,DE
Krankenhaus Waldfriede /ID# 212728,Berlin,DE
Stadtisches Klinikum Braunschw /ID# 163666,Braunschweig,DE
Medizinisches Versorgungszent /ID# 211557,Dachau,DE
Agaplesion Markus Krankenhaus /ID# 159317,Frankfurt,DE
Universitaetsklinikum Frankfurt /ID# 212978,Frankfurt,DE
Universitätsklinikum Freiburg /ID# 162019,Freiburg,DE
Praxis Dres. Hülsdonk/Naumann /ID# 211964,Grevenbroich,DE
Asklepios Westklinikum Hamburg /ID# 159319,Hamburg,DE
Med Hochschule Hanover /ID# 162021,Hannover,DE
Praxis fuer Gastroenterologie /ID# 166145,Heidelberg,DE
Universitaetsklinikum Jena /ID# 159323,Jena,DE
EUGASTRO GmbH /ID# 212076,Leipzig,DE
Klinikum Lueneburg /ID# 163664,Lueneburg,DE
Universitatsklinikum Magdeburg /ID# 211847,Magdeburg,DE
Gastro Gemeinschaftspraxis /ID# 162018,Minden,DE
Klinikum Univ. Regensburg /ID# 163665,Regensburg,DE
Universitatsklinikum Tubingen /ID# 159324,Tuebingen,DE
Gastro-Praxis Wiesbaden /ID# 159318,Wiesbaden,DE
Tzaneio general hospital of Piraeus /ID# 206445,Piraeus,GR
General Hospital of Athens Evaggelismos and Ophthalmiatrio of Athens Polyclinic /ID# 157428,Athens,GR
General Hospital of Chest Diseases of Athens SOTIRIA /ID# 171077,Athens,GR
"University General Hospital of Heraklion ""PA.G.N.I"" /ID# 157427",Heraklion,GR
University General Hospital of Ioannina /ID# 157425,Ioannina,GR
General Hospital Nikaias-Piraeus St. Panteleimon /ID# 157429,Pireaus,GR
Theageneio Anticancer Hospital /ID# 163921,Thessaloniki,GR
Queen Mary Hospital /ID# 163902,,HK
Tuen Mun Hospital /ID# 163901,Tuen Mun,HK
St Vincent's University Hospit /ID# 157512,Dublin,IE
Beaumont Hospital /ID# 157515,Dublin,IE
University Hospital Galway /ID# 157513,Galway,IE
Soroka Medical Center /ID# 157798,Be'er Sheva,IL
Tel Aviv Sourasky Medical Center /ID# 157796,Tel AvivYafo,IL
Hadassah Medical Center-Hebrew University /ID# 165913,Jerusalem,IL
Rambam Medical Center /ID# 171072,Haifa,IL
The Edith Wolfson Medical Center /ID# 217329,Holon,IL
Shaare Zedek Medical Center /ID# 163540,Jerusalem,IL
Shaare Zedek Medical Center /ID# 171073,Jerusalem,IL
Sheba Medical Center /ID# 157797,Ramat Gan,IL
Sheba Medical Center /ID# 171074,Ramat Gan,IL
Universita di Catanzaro Magna Graecia /ID# 212012,Catanzaro,IT
AOU Policlinico S.Orsola Malpighi /ID# 155635,Bologna,IT
Azienda Ospedaliero-Universitaria Policlinico di Modena /ID# 212019,Modena,IT
Policlinico Universitario Campus Bio-Medico /ID# 162429,Rome,IT
Azienda Ospedaliera San Camillo Forlanini /ID# 155636,Rome,IT
Azienda Policlinico Universitario Umberto I /ID# 166911,Rome,IT
Ospedale Policlinico San Martino/ Università Degli Studi Di Genova /ID# 162430,Genoa,IT
Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico /ID# 155633,Milan,IT
IBD Center - IRCCS Istituto Clinico Humanitas /ID# 155634,Rozzano,IT
Fondazione Policlinico Gemelli Universita Cattolica S. Cuore /ID# 155632,Rome,IT
A.O. Per L'Emergenza Cannizzaro /ID# 161306,Catania,IT
A.O. Ospedali Riuniti Villa Sofia - Cervello /ID# 155637,Palermo,IT
Azienda Ospedaliera Univ. Meyer /ID# 168051,Florence,IT
Ospedale Classificato Equiparato Sacro Cuore-Don Calabria /ID# 161305,Negrar,IT
Ospedali Riuniti Universita /ID# 162427,Ancona,IT
IRCCS Policlinico S. Matteo /ID# 212029,Pavia,IT
Policlinico Tor Vergata /ID# 158021,Rome,IT
Aichi Medical University Hosp /ID# 160159,Nagakute,JP
Daido Clinic /ID# 211477,Nagoyashi,JP
Nagoya University Hospital /ID# 160150,Nagoyashi,JP
Nagoya City University Hospital /ID# 160162,Nagoyashi,JP
Tokatsu Tsujinaka Hospital /ID# 163362,Abikoshi,JP
Toho University Sakura Medical Center /ID# 160161,Sakurashi,JP
Fukuoka University Hospital /ID# 217792,Fukuokashi,JP
Kurume University Hospital /ID# 160138,Kurumeshi,JP
NHO Fukuyama Medical Center /ID# 163578,Fukuyamashi,JP
Asahikawa Medical University Hospital /ID# 162844,Asahikawashi,JP
Hokkaido P.W.F.A.C. Sapporo-Kosei General Hospital /ID# 160158,Sapporoshi,JP
Sapporo Medical Univ Hosp /ID# 163028,Sapporoshi,JP
Sapporo Tokushukai Hospital /ID# 213493,Sapporo,JP
Nishinomiya Munic Central Hosp /ID# 210104,Nishinomiyashi,JP
Hyogo College of Medicine College Hospital /Id# 160164,Nishinomiyashi,JP
National Hospital Organization Mito Medical Center /ID# 160154,Higashi Ibarakigun,JP
Kanazawa University Ho /ID# 201766,Kanazawa,JP
Gokeikai Ofuna Chuo Hospital /ID# 171070,Kamakurashi,JP
Yokohama City Univ Medical Ctr /ID# 163906,Yokohama,JP
Yokohama Municipal Citizen's Hospital /ID# 204126,Yokohama,JP
Mie University Hospital /ID# 203639,Tsushi,JP
Tohoku University Hospital /ID# 162843,Sendaishi,JP
Tohoku Rosai Hospital /ID# 163189,Sendaishi,JP
Osaka City University Hospital /ID# 160146,Osakashi,JP
Saitama Medical Center /ID# 160155,Kawagoeshi,JP
Tokito Clinic /ID# 160145,Saitamashi,JP
Shiga University of Medical Science Hospital /ID# 164022,Otsushi,JP
Hamamatsu University Hospital /ID# 205689,Hamamatsushi,JP
Medical Hospital of Tokyo Medical and Dental University /ID# 160157,Bunkyoku,JP
Tokai University Hachioji Hospital /ID# 160160,Hachioji,JP
Kitasato Univ Kitasato Inst Ho /ID# 160144,Minatoku,JP
Kyorin University Hospital /ID# 160149,Mitakashi,JP
Tokyo Women's Medical University Hospital /ID# 205973,Shinjukuku,JP
Wakayama Medical University /ID# 200183,Wakayamashi,JP
Yamagata University Hospital /ID# 200154,Yamagatashi,JP
Yamanashi Prefectural Ctr Hosp /ID# 160156,Kofushi,JP
Chiba University Hospital /ID# 217532,Chiba,JP
Hiroshima University Hospital /ID# 160139,Hiroshima,JP
The Jikei Univ. Kashiwa Hosp. /ID# 200007,Kashiwashi,JP
Tsujinaka Hospital Kashiwanoha /ID# 213847,Kashiwa,JP
The Jikei University Hospital /ID# 163190,Minatoku,JP
Kitasato University Hospital /ID# 171071,Sagamiharashi,JP
NHO Shizuoka Medical Center /ID# 163029,Shimizusho,JP
Fujita Health University Hosp /ID# 163214,Toyoake,JP
Yokkaichi Hazu Medical Center /ID# 163741,Yokkaichishi,JP
Pusan National University Hosp /ID# 158677,Busan,KR
Yeungnam University Med Ctr /ID# 158680,Daegu,KR
CHA bundang medical center CHA University /ID# 158672,Seongnamsi,KR
St. Vincent's Hospital /ID# 158681,Suwon,KR
Kangbuk Samsung Hospital /ID# 158676,JongnoGu,KR
Severance Hospital /ID# 158671,Seoul,KR
Samsung Medical Center /ID# 158674,Seoul,KR
Dong-A University Hospital /ID# 158675,Busan,KR
Daejeon St. Mary's Hospital /ID# 213552,Daejeon,KR
Hanyang University Guri Hosp /ID# 158673,Gurisi,KR
Asan Medical Center /ID# 158678,Seoul,KR
Riga East Clinical Univ Hosp /ID# 159613,Riga,LV
P. Stradins Clinical Univ Hosp /ID# 159614,LVRiga,LV
Digestive Diseases Ctr Gastro /ID# 163105,LVRiga,LV
Hospital of lithuanian university of Health Science Kauno Klinikos /ID# 162582,Kaunas,LT
Vilnius University Hospital /ID# 162507,LTVilnius,LT
UKM Medical Centre /ID# 163654,Kuala Lumpur,MY
Universiti Sains MY /ID# 160656,Kelantan,MY
Queen Elizabeth Hospital /ID# 160654,Kota Kinabalu,MY
S.A. de C.V. /ID# 167648,Zapopan,MX
JM Research SC /ID# 161733,Cuernavaca,MX
Health Pharma Professional Research S.A de C.V /ID# 161734,Del. Benito Juárez,MX
Unidad de Atencion Medica e Investigacion en Salud /ID# 163624,Merida Yucatan,MX
Academisch Medisch Centrum /ID# 157950,Amsterdam,NL
Elisabeth Tweesteden Ziekenhuis /ID# 163631,Tilburg,NL
Christchurch Hospital /ID# 163074,Christchurch,NZ
Dunedin Hospital /ID# 167989,Dunedin,NZ
Wellington Hospital (Capital and Coast District Health Board) /ID# 167987,Wellington,NZ
Akershus universitetssykehus /ID# 169378,Nordbyhagen,NO
Vestre viken - Baerum Sykehus /ID# 157886,Gjettum,NO
Sykehuset Levanger Helse NT /ID# 157885,Levanger,NO
Alesund sjukehus /ID# 212811,Ålesund,NO
Planetmed Sp. z o.o. /ID# 202798,Wrocław,PL
Centrum Zdrowia MDM /ID# 160794,Warsaw,PL
Instytut Pomnik - Centrum Zdrowia Dziecka /ID# 213579,Warsaw,PL
Centralny Szpital Kliniczny MSWiA w Warszawie /ID# 160797,Warszawa,PL
Centrum Medyczne Medyk /ID# 212889,Rzeszów,PL
Centrum Medyczne LukaMed Joanna Luka /ID# 212081,Chojnice,PL
Uniwersytecki Szpital Kliniczn /ID# 212297,Lodz,PL
1 Wojskowy Szpital Kliniczny Z Poliklinika /Id# 209985,Lublin,PL
SPSK Nr 4 /ID# 209981,Lublin,PL
Wojewódzki Szpital Specjalistyczny w Olsztynie /ID# 212402,Olsztyn,PL
Solumed Sp. zoo Cent Medyczne /ID# 160793,Poznan,PL
Gastromed /Id# 212099,Toruń,PL
H-T. Centrum Medyczne Spółka z o.o. Spółka Komandytowa /ID# 212459,Tychy,PL
NZOZ Vivamed /ID# 205160,Warsaw,PL
